# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
SLF.TO,CA,0.039100,Sun Life Financial Inc
VEEV,US,0.039000,Veeva Systems Inc
6367.T,JP,0.039000,Daikin Industries Ltd
WCN.TO,CA,0.038800,Waste Connections Inc
CCO.TO,CA,0.038700,Cameco Corp
YUM,US,0.038600,Yum! Brands Inc
RSG,US,0.038600,Republic Services Inc
ITUB4.SA,BR,0.038600,Itau Unibanco Holding SA
INFY.NS,IN,0.038500,Infosys Ltd
KDP,US,0.038500,Keurig Dr Pepper Inc
FERG,US,0.038500,Ferguson Enterprises Inc
8750.T,JP,0.038400,Daiichi Life Group Inc
SAND.ST,SE,0.038400,Sandvik AB
7267.T,JP,0.038300,Honda Motor Co Ltd
SIKA.SW,CH,0.038200,Sika AG
GMEXICOB.MX,MX,0.038200,Grupo Mexico SAB de CV
WDAY,US,0.038200,Workday Inc
AIG,US,0.038200,American International Group Inc
3037.TW,TW,0.038000,Unimicron Technology Corp
LR.PA,FR,0.038000,Legrand SA
PETR3.SA,BR,0.038000,Petroleo Brasileiro SA
8053.T,JP,0.037800,Sumitomo Corp
MBG.DE,DE,0.037700,Mercedes-Benz Group AG
TSCO.L,GB,0.037600,Tesco PLC
PRU,US,0.037600,Prudential Financial Inc
PAYX,US,0.037500,Paychex Inc
FANG,US,0.037500,Diamondback Energy Inc
WAT,US,0.037400,Waters Corp
MSCI,US,0.037400,MSCI Inc
1211.HK,HK,0.037400,BYD Co Ltd
GFI.JO,ZA,0.037300,Gold Fields Ltd
8725.T,JP,0.037200,MS&AD Insurance Group Holdings Inc
PRY.MI,IT,0.037200,Prysmian SpA
6701.T,JP,0.037200,NEC Corp
4578.T,JP,0.037200,Otsuka Holdings Co Ltd
6301.T,JP,0.037100,Komatsu Ltd
GMG.AX,AU,0.037100,Goodman Group
DSV.CO,DK,0.037000,DSV A/S
SSE.L,GB,0.037000,SSE PLC
FLEX,US,0.036900,Flex Ltd
WEC,US,0.036700,WEC Energy Group Inc
XYZ,US,0.036700,Block Inc
TTWO,US,0.036500,Take-Two Interactive Software Inc
5802.T,JP,0.036400,Sumitomo Electric Industries Ltd
EBS.VI,AT,0.036200,Erste Group Bank AG
6702.T,JP,0.036200,Fujitsu Ltd
LUMI.TA,IL,0.036100,Bank Leumi Le-Israel BM
005380.KS,KR,0.036000,Hyundai Motor Co
MCHP,US,0.035900,Microchip Technology Inc
ORA.PA,FR,0.035900,Orange SA
ED,US,0.035700,Consolidated Edison Inc
ADM,US,0.035700,Archer-Daniels-Midland Co
U11.SI,SG,0.035600,United Overseas Bank Ltd
GALD.SW,CH,0.035500,Galderma Group AG
2891.TW,TW,0.035500,CTBC Financial Holding Co Ltd
CLS.TO,CA,0.035100,Celestica Inc
2222.SR,SA,0.035100,Saudi Arabian Oil Co
7182.T,JP,0.035000,Japan Post Bank Co Ltd
6762.T,JP,0.035000,TDK Corp
DHI,US,0.034800,DR Horton Inc
NPN.JO,ZA,0.034800,Naspers Ltd
ATCO-A.ST,SE,0.034700,Atlas Copco AB
TEVA.TA,IL,0.034700,Teva Pharmaceutical Industries Ltd
DANSKE.CO,DK,0.034700,Danske Bank A/S
K.TO,CA,0.034500,Kinross Gold Corp
ODFL,US,0.034400,Old Dominion Freight Line Inc
SYY,US,0.034100,Sysco Corp
2882.TW,TW,0.034000,Cathay Financial Holding Co Ltd
III.L,GB,0.034000,3i Group PLC
0992.HK,HK,0.034000,Lenovo Group Ltd
NTR.TO,CA,0.034000,Nutrien Ltd
EXPN.L,GB,0.033700,Experian PLC
8630.T,JP,0.033600,Sompo Holdings Inc
ASSA-B.ST,SE,0.033500,Assa Abloy AB
KVUE,US,0.033500,Kenvue Inc
9618.HK,HK,0.033500,JD.com Inc
2881.TW,TW,0.033400,Fubon Financial Holding Co Ltd
EXPE,US,0.033300,Expedia Group Inc
FFH.TO,CA,0.033300,Fairfax Financial Holdings Ltd
HIG,US,0.033000,Hartford Financial Services Group Inc/The
PYPL,US,0.032800,PayPal Holdings Inc
PEG,US,0.032800,Public Service Enterprise Group Inc
RMD,US,0.032700,ResMed Inc
REP.MC,ES,0.032600,Repsol SA
055550.KS,KR,0.032600,Shinhan Financial Group Co Ltd
ADYEN.AS,NL,0.032500,Adyen NV
